# S0 CLI 레퍼런스 — 파일별 최상위 선언 수
# 문법 3dea6df · tree-sitter 0.26.12
# 쿼리 crates/pal-extract/queries/kotlin/top-level.scm
path	parse	declarations
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/process/repository/BpmnRepository.kt	ok	1
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/process/repository/ProcessBpmnMappingRepository.kt	ok	1
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/process/repository/ProcessGlobalVariableRepository.kt	ok	1
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/process/repository/ProcessRepository.kt	ok	1
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/process/repository/ProcessTriggerEventRepository.kt	ok	1
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/process/repository/ProcessTriggerEventVariableRepository.kt	ok	1
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/process/repository/ProcessTriggerRepository.kt	ok	1
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/process/repository/ServiceTaskUsageRepository.kt	ok	1
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/process/repository/impl/BpmnDslRepository.kt	fail	0
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/process/repository/impl/ProcessBpmnMappingDslRepository.kt	ok	1
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/process/repository/impl/ProcessDslRepository.kt	fail	0
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/process/repository/impl/ProcessGlobalVariableDslRepository.kt	fail	0
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/process/repository/impl/ProcessTriggerDslRepository.kt	fail	0
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/process/repository/impl/ProcessTriggerEventDslRepository.kt	ok	1
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/process/repository/impl/ProcessTriggerEventVariableDslRepository.kt	fail	0
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/process/repository/impl/ServiceTaskUsageDslRepository.kt	ok	2
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/process/scheduler/CronMatcher.kt	ok	2
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/process/scheduler/ProcessCronScheduler.kt	ok	2
